Focal,Comp,U.drift
LECY,LECY,-0.09595103211377567
LECY,GIRO,-0.29430967440361044
LECY,CAIN,-0.25230837026643405
LECY,CACL,-0.6423377300611604
GIRO,LECY,-0.00421304992673737
GIRO,GIRO,0.04616284928769807
GIRO,CAIN,0.22614035944146446
GIRO,CACL,-0.014544002155334891
CAIN,LECY,0.003995583447683953
CAIN,GIRO,4.560458168538252e-4
CAIN,CAIN,0.023381286365848734
CAIN,CACL,-0.039779968970859544
CACL,LECY,-0.05893021126548711
CACL,GIRO,0.0014508174068486195
CACL,CAIN,-0.010564815212414275
CACL,CACL,0.046250130426654504
